PT Sembodo Rental Indonesia,,,,
Sales by Customer,,,,
01/07/2025 - 05/11/2025,,,,
(in IDR),,,,
,,,,
Customer / Date,No,Product,Description,Qty
17/08/2025,11561,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 17 Agustus 2025 ,1
18/08/2025,11562,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 18 Agustus 2025 ,1
19/08/2025,11635,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 19 Agustus 2025 ,1
20/08/2025,11637,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 20 Agustus 2025 ,1
21/08/2025,11638,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 21 Agustus 2025 ,1
22/08/2025,11639,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 22 Agustus 2025 ,1
23/08/2025,11662,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 23 Agustus 2025 ,1
24/08/2025,11663,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 24 Agustus 2025 ,1
25/08/2025,11664,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 25 Agustus 2025 ,1
26/08/2025,11665,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 26 Agustus 2025 ,1
27/08/2025,11683,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 27 Agustus 2025 ,1
28/08/2025,11684,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 28 Agustus 2025 ,1
29/08/2025,11685,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 29 Agustus 2025 ,1
30/08/2025,11686,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 30 Agustus 2025 ,1
31/08/2025,11687,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 31 Agustus 2025 ,1
01/09/2025,11688,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 01 September 2025 ,1
02/09/2025,11703,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 02 September 2025 ,1
03/09/2025,11704,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 03 September 2025 ,1
04/09/2025,11705,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 04 September 2025 ,1
05/09/2025,11706,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 05 September 2025 ,1
06/09/2025,11742,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 06 September 2025 ,1
07/09/2025,11763,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 07 September 2025 ,1
08/09/2025,11765,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 08 September 2025 ,1
09/09/2025,11779,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 09 September 2025 ,1
10/09/2025,11780,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 10 September 2025 ,1
11/09/2025,11796,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 11 September 2025 ,1
12/09/2025,11797,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 12 September 2025 ,1
13/09/2025,11798,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 13 September 2025 ,1
14/09/2025,11804,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 14 September 2025 ,1
15/09/2025,11828,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 15 September 2025 ,1
16/09/2025,11829,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 16 September 2025 ,1
17/09/2025,11830,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 17 September 2025 ,1
18/09/2025,11831,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 18 September 2025 ,1
19/09/2025,11833,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 19 September 2025 ,1
20/09/2025,11834,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 20 September 2025 ,1
21/09/2025,11841,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 21 September 2025 ,1
22/09/2025,11842,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 22 September 2025 ,1
23/09/2025,11845,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 23 September 2025 ,1
24/09/2025,11846,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 24 September 2025 ,1
25/09/2025,11847,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 25 September 2025 ,1
26/09/2025,11848,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 26 September 2025 ,1
